date,country,iso3,confirmed,deaths,death_pos,pos_test,test_wom
4/20/20,Brazil,BRA,40743,2587,.063495569,.13956811,291922
4/20/20,Bulgaria,BGR,929,43,.04628633,.035166748,26417
4/20/20,Burkina Faso,BFA,581,38,.065404475,,
4/20/20,Cameroon,CMR,1163,42,.036113501,,
4/20/20,Canada,CAN,37658,1727,.045860108,.067297138,559578
4/20/20,Channel Islands,CHI,488,24,.049180329,.14698794,3320
4/20/20,Chile,CHL,11375,139,.01221978,.095727399,118827
4/20/20,China,CHN,83817,4636,.055310976,,
4/20/20,Colombia,COL,3977,189,.04752326,.063382529,62746
4/20/20,Croatia,HRV,1881,47,.024986709,.070687711,26610
4/20/20,Cuba,CUB,1087,36,.033118676,.038009651,28598
4/20/20,Cyprus,CYP,772,12,.015544041,.02264793,34087
4/20/20,Czech Republic,CZE,6900,194,.028115941,.04008761,172123
4/20/20,Democratic Republic of Congo,COD,332,25,.075301208,,
4/20/20,Denmark,DNK,7515,364,.048436459,.078082792,96244
4/20/20,Dominican Republic,DOM,4964,235,.047340855,.29756624,16682
4/20/20,Ecuador,ECU,10128,507,.05005924,.31208208,32453
4/20/20,Egypt,EGY,3333,250,.075007498,.060600001,55000
4/20/20,Estonia,EST,1535,40,.026058631,.037503053,40930
4/20/20,Finland,FIN,3868,98,.02533609,.065337837,59200
4/20/20,France,FRA,154188,20240,.13126832,.33254397,463662
4/20/20,Germany,DEU,147065,4862,.033060212,.085089482,1728357
4/20/20,Greece,GRC,2245,116,.05167038,.04131091,54344
4/20/20,Honduras,HND,477,46,.096436061,.18816568,2535
4/20/20,Hungary,HUN,1984,199,.10030242,.041284308,48057
4/20/20,Iceland,ISL,1773,10,.005640158,.04109589,43143
4/20/20,India,IND,18539,592,.031932682,.046164457,401586
4/20/20,Indonesia,IDN,6760,590,.087278105,.15451781,43749
4/20/20,Iran,IRN,83505,5209,.062379498,.23655003,353012
4/20/20,Iraq,IRQ,1574,82,.052096568,.02665312,59055
4/20/20,Ireland,IRL,15652,687,.043892153,.17267171,90646
4/20/20,Israel,ISR,13713,177,.01290746,.057065453,240303
4/20/20,Italy,ITA,181228,24114,.13305891,.12963153,1398024
4/20/20,Japan,JPN,11258,275,.024427075,.096448921,116725
4/20/20,Kazakhstan,KAZ,1852,19,.010259179,.015701702,117949
4/20/20,Kenya,KEN,281,14,.049822062,.020256633,13872
4/20/20,Kosovo,XKX,561,12,.021390375,,
4/20/20,Lebanon,LBN,677,21,.031019202,.032347459,20929
4/20/20,Lithuania,LTU,1326,37,.027903469,.019984325,66352
4/20/20,Luxembourg,LUX,3558,75,.021079257,.1052725,33798
4/20/20,Malaysia,MYS,5425,89,.01640553,.05013122,108216
4/20/20,Mali,MLI,246,14,.056910571,,
4/20/20,Mexico,MEX,8772,712,.081167348,.17696187,49570
4/20/20,Moldova,MDA,2548,70,.027472528,.21661142,11763
4/20/20,Morocco,MAR,3046,143,.046946816,.18589039,16386
4/20/20,Netherlands,NLD,33405,3751,.11228858,.19487792,171415
4/20/20,New Zealand,NZL,1440,12,.0083333338,.016685013,86305
4/20/20,Niger,NER,648,20,.030864198,.13743372,4715
4/20/20,Nigeria,NGA,665,22,.033082705,.092967987,7153
4/20/20,North Macedonia,MKD,1225,54,.044081632,.10320134,11870
4/20/20,Norway,NOR,7156,181,.02529346,.04995288,143255
4/20/20,Pakistan,PAK,9565,201,.021014115,.09170486,104302
